State,Jan23 Force,Jan24 Force,Feb23 Force,Feb24 Force,Jan23 Unemp,Jan24 Unemp,Feb23 Unemp,Feb24 Unemp,Jan23 Unemp Perc,Jan24 Unemp Perc,Feb23 Unemp Perc,Feb24 Unemp Perc,State
Alabama,"2,270,889","2,311,898","2,283,059","2,316,936","59,890","77,544","58,199","79,133",2.6,3.4,2.5,3.4,
Anniston-Oxford-Jacksonville,"45,109","45,653","45,438","45,822","1,287","1,714","1,261","1,765",2.9,3.8,2.8,3.9,Alabama
Auburn-Opelika,"78,859","82,245","79,797","82,715","1,871","2,446","1,858","2,573",2.4,3,2.3,3.1,Alabama
Birmingham-Hoover,"562,402","569,955","566,912","573,921","13,292","17,260","13,063","18,075",2.4,3,2.3,3.1,Alabama
Daphne-Fairhope-Foley,"100,742","103,622","101,404","104,077","2,536","3,303","2,451","3,377",2.5,3.2,2.4,3.2,Alabama
Decatur,"75,688","76,924","76,049","77,068","1,613","2,062","1,605","2,119",2.1,2.7,2.1,2.7,Alabama
Dothan,"65,536","66,997","65,319","66,846","1,821","2,331","1,669","2,352",2.8,3.5,2.6,3.5,Alabama
Florence-Muscle Shoals,"66,076","67,103","66,142","67,216","1,952","2,486","1,803","2,382",3,3.7,2.7,3.5,Alabama
Gadsden,"38,797","39,395","39,256","39,696","1,137","1,520","1,134","1,538",2.9,3.9,2.9,3.9,Alabama
Huntsville,"250,765","258,001","252,693","259,493","5,279","7,066","5,261","7,365",2.1,2.7,2.1,2.8,Alabama
Mobile,"188,040","190,335","189,499","190,371","6,187","8,530","5,919","8,366",3.3,4.5,3.1,4.4,Alabama
Montgomery,"174,289","176,941","175,867","178,097","5,000","5,926","4,852","6,036",2.9,3.3,2.8,3.4,Alabama
Tuscaloosa,"117,614","120,382","119,065","121,112","2,899","3,781","2,830","3,997",2.5,3.1,2.4,3.3,Alabama
Alaska,"349,945","352,619","352,213","354,553","15,957","18,399","16,450","19,976",4.6,5.2,4.7,5.6,
Anchorage,"200,052","202,126","199,684","202,064","7,831","9,066","8,155","9,934",3.9,4.5,4.1,4.9,Alaska
Fairbanks,"44,797","45,068","45,026","45,419","1,908","2,097","1,902","2,240",4.3,4.7,4.2,4.9,Alaska
Arizona,"3,638,353","3,733,559","3,650,815","3,746,324","130,244","141,011","130,536","135,548",3.6,3.8,3.6,3.6,
Flagstaff,"73,167","75,636","73,534","75,832","3,156","3,266","3,059","3,096",4.3,4.3,4.2,4.1,Arizona
Lake Havasu City-Kingman,"89,051","90,540","89,178","90,768","3,940","4,052","4,003","4,055",4.4,4.5,4.5,4.5,Arizona
Phoenix-Mesa-Scottsdale,"2,603,268","2,682,421","2,613,773","2,694,100","82,649","91,129","83,644","88,230",3.2,3.4,3.2,3.3,Arizona
Prescott,"107,293","109,773","107,751","110,347","3,605","3,822","3,667","3,843",3.4,3.5,3.4,3.5,Arizona
Sierra Vista-Douglas,"48,955","49,808","49,565","50,217","2,115","2,168","2,205","2,169",4.3,4.4,4.4,4.3,Arizona
Tucson,"488,246","498,824","490,613","499,898","17,246","18,679","17,383","18,116",3.5,3.7,3.5,3.6,Arizona
Yuma,"100,134","97,397","98,389","95,847","10,599","10,777","9,687","9,326",10.6,11.1,9.8,9.7,Arizona
Arkansas,"1,345,984","1,365,522","1,364,095","1,379,044","45,969","53,183","44,653","48,215",3.4,3.9,3.3,3.5,
Fayetteville-Springdale-Rogers,"301,142","308,247","307,133","314,284","7,442","8,795","7,297","8,184",2.5,2.9,2.4,2.6,Arkansas
Fort Smith,"116,624","119,908","117,747","120,928","3,973","5,080","3,904","4,763",3.4,4.2,3.3,3.9,Arkansas
Hot Springs,"40,830","40,948","41,181","41,189","1,614","1,778","1,582","1,571",4,4.3,3.8,3.8,Arkansas
Jonesboro,"66,042","66,487","66,632","66,838","1,980","2,290","1,845","2,085",3,3.4,2.8,3.1,Arkansas
Little Rock-North Little Rock-Conway,"358,195","366,626","362,045","369,912","11,166","13,230","11,048","12,026",3.1,3.6,3.1,3.3,Arkansas
Pine Bluff,"31,699","31,415","31,984","31,593","1,519","1,602","1,474","1,467",4.8,5.1,4.6,4.6,Arkansas
California,"19,161,412","19,342,162","19,354,958","19,394,269","898,944","1,106,617","925,636","1,078,314",4.7,5.7,4.8,5.6,
Bakersfield,"389,029","399,054","392,487","400,783","31,822","37,977","35,421","41,016",8.2,9.5,9,10.2,California
Chico,"91,696","92,968","92,866","93,628","5,132","6,149","5,185","6,391",5.6,6.6,5.6,6.8,California
El Centro,"72,184","75,168","71,418","74,405","11,776","13,479","11,311","12,785",16.3,17.9,15.8,17.2,California
Fresno,"450,815","464,652","461,600","469,382","34,576","41,116","37,975","44,634",7.7,8.8,8.2,9.5,California
Hanford-Corcoran,"56,982","59,899","58,370","60,239","5,035","5,925","5,447","6,340",8.8,9.9,9.3,10.5,California
Los Angeles-Long Beach-Anaheim,"6,597,376","6,603,080","6,657,193","6,611,968","306,069","363,008","311,210","320,183",4.6,5.5,4.7,4.8,California
Madera,"63,308","67,290","64,493","67,841","4,943","5,885","5,432","6,101",7.8,8.7,8.4,9,California
Merced,"114,546","120,502","117,514","121,888","11,246","13,237","12,562","14,542",9.8,11,10.7,11.9,California
Modesto,"238,893","247,177","242,884","248,532","15,769","18,991","16,267","19,416",6.6,7.7,6.7,7.8,California
Napa,"68,848","71,609","71,448","72,502","2,776","3,342","2,698","3,246",4,4.7,3.8,4.5,California
Oxnard-Thousand Oaks-Ventura,"408,658","413,460","414,060","414,765","17,267","21,458","16,945","20,994",4.2,5.2,4.1,5.1,California
Redding,"73,389","75,103","73,437","75,084","4,214","4,855","4,262","5,162",5.7,6.5,5.8,6.9,California
Riverside-San Bernardino-Ontario,"2,164,776","2,184,483","2,173,149","2,184,128","95,424","119,257","96,687","120,530",4.4,5.5,4.4,5.5,California
Sacramento--Roseville--Arden-Arcade,"1,116,438","1,141,697","1,126,408","1,147,335","48,423","59,323","48,866","59,995",4.3,5.2,4.3,5.2,California
Salinas,"199,657","211,472","207,674","215,880","19,393","22,326","21,310","24,555",9.7,10.6,10.3,11.4,California
San Diego-Carlsbad,"1,584,847","1,597,594","1,597,748","1,602,182","58,266","75,849","58,700","76,101",3.7,4.7,3.7,4.7,California
San Francisco-Oakland-Hayward,"2,512,086","2,510,117","2,532,360","2,511,848","83,207","113,171","85,774","111,386",3.3,4.5,3.4,4.4,California
San Jose-Sunnyvale-Santa Clara,"1,068,596","1,066,933","1,077,064","1,066,381","32,689","47,348","34,439","47,272",3.1,4.4,3.2,4.4,California
San Luis Obispo-Paso Robles-Arroyo Grande,"133,360","135,126","137,059","136,912","4,714","5,740","4,684","5,949",3.5,4.2,3.4,4.3,California
Santa Cruz-Watsonville,"130,145","131,696","132,614","133,255","8,234","9,816","9,103","10,615",6.3,7.5,6.9,8,California
Santa Maria-Santa Barbara,"207,754","214,491","212,988","216,771","9,970","12,146","10,199","12,424",4.8,5.7,4.8,5.7,California
Santa Rosa,"243,181","249,405","247,776","250,809","8,889","11,277","8,913","11,112",3.7,4.5,3.6,4.4,California
Stockton-Lodi,"341,064","349,781","344,416","350,976","21,681","26,160","22,235","26,562",6.4,7.5,6.5,7.6,California
Vallejo-Fairfield,"199,538","204,979","202,711","205,351","9,532","11,616","9,606","11,697",4.8,5.7,4.7,5.7,California
Visalia-Porterville,"208,443","215,531","211,911","216,832","20,703","25,538","22,735","26,759",9.9,11.8,10.7,12.3,California
Yuba City,"76,197","79,556","77,782","80,219","6,386","7,367","6,665","7,663",8.4,9.3,8.6,9.6,California
Colorado,"3,191,138","3,205,366","3,216,732","3,226,620","99,898","122,896","108,417","133,614",3.1,3.8,3.4,4.1,
Boulder,"199,756","201,472","202,727","204,137","5,170","6,795","5,841","7,441",2.6,3.4,2.9,3.6,Colorado
Colorado Springs,"373,403","379,563","375,243","380,042","12,369","14,829","13,335","16,247",3.3,3.9,3.6,4.3,Colorado
Denver-Aurora-Lakewood,"1,726,484","1,722,015","1,735,715","1,730,726","52,909","66,411","57,513","71,909",3.1,3.9,3.3,4.2,Colorado
Fort Collins,"208,769","214,802","210,701","215,753","5,828","7,259","6,400","8,042",2.8,3.4,3,3.7,Colorado
